iter	Logloss
0	0.6304283651
1	0.5792770386
2	0.5375498454
3	0.5039695231
4	0.4747272746
5	0.4476917521
6	0.4234484863
7	0.4026310221
8	0.3857025401
9	0.3693397013
10	0.3562709554
11	0.3451132711
12	0.3336204529
13	0.3241673024
14	0.3166286723
15	0.3082403564
16	0.3010461934
17	0.2937652079
18	0.287989858
19	0.2825233968
20	0.2782904816
21	0.2740685018
22	0.2710429891
23	0.2685748291
24	0.2653150686
25	0.2625580851
26	0.2599998983
27	0.2578970591
28	0.2559698995
29	0.2548693593
30	0.2530886332
31	0.2515697734
32	0.2498527527
33	0.2481475576
34	0.2465369415
35	0.245480245
36	0.2447812398
37	0.2439968109
38	0.2432826742
39	0.2421881104
40	0.2416831716
41	0.2407345072
42	0.2399654134
43	0.2394856262
44	0.2390868886
45	0.2381186167
46	0.2376858012
47	0.2372593689
48	0.2366722107
49	0.2363174438
50	0.2359642029
51	0.2353607686
52	0.2350061544
53	0.2345993551
54	0.2342042033
55	0.2338813273
56	0.2335679372
57	0.2329150645
58	0.2323974101
59	0.2319069163
60	0.2316351827
61	0.2314693197
62	0.231160965
63	0.2308093262
64	0.2306124369
65	0.2304247538
66	0.2300969187
67	0.2298901113
68	0.229711202
69	0.2295666504
70	0.2294197845
71	0.2293004862
72	0.229172821
73	0.2289462789
74	0.2285276286
75	0.2284377035
76	0.2280823008
77	0.2277378845
78	0.2275901031
79	0.2272238668
80	0.2270916494
81	0.2269328308
82	0.2267064921
83	0.2264939372
84	0.2262512207
85	0.2261954244
86	0.2259950765
87	0.225932134
88	0.2257120768
89	0.225478363
90	0.225365626
91	0.2252638753
92	0.2251524353
93	0.2250037638
94	0.2247969055
95	0.224598643
96	0.2244609578
97	0.2243401591
98	0.2241433207
99	0.2239223226
