iter	Passed	Remaining
0	4	481
1	5	292
2	7	226
3	8	192
4	9	172
5	10	159
6	11	149
7	12	141
8	13	137
9	14	132
10	15	128
11	18	134
12	20	137
13	21	134
14	23	131
15	24	128
16	25	126
17	27	123
18	28	121
19	29	118
20	30	116
21	32	114
22	33	113
23	35	111
24	36	109
25	37	107
26	38	105
27	40	103
28	41	101
29	42	99
30	43	97
31	44	95
32	46	93
33	47	91
34	48	90
35	50	88
36	51	87
37	52	86
38	54	84
39	56	84
40	57	82
41	59	81
42	60	80
43	62	79
44	63	77
45	65	76
46	66	75
47	68	74
48	70	72
49	71	71
50	73	70
51	74	68
52	75	67
53	77	65
54	79	64
55	80	63
56	82	61
57	83	60
58	84	59
59	86	57
60	87	55
61	88	54
62	90	52
63	91	51
64	92	49
65	94	48
66	95	47
67	96	45
68	98	44
69	99	42
70	100	41
71	102	39
72	103	38
73	104	36
74	105	35
75	107	33
76	108	32
77	109	30
78	111	29
79	112	28
80	113	26
81	115	25
82	116	23
83	118	22
84	119	21
85	120	19
86	121	18
87	123	16
88	124	15
89	125	13
90	126	12
91	127	11
92	128	9
93	130	8
94	131	6
95	133	5
96	134	4
97	135	2
98	136	1
99	138	0
